Comment,Designator,Footprint,LCSC,Quantity
D_45deg,D6,D_0805_2012Metric,,1
~,SW13,PG1316M_0.7U_castellated,,1
~,SW11,PG1316M_0.7U_castellated,,1
D_45deg,D10,D_0805_2012Metric,,1
D_45deg,D7,D_0805_2012Metric,,1
~,SW2,PG1316S_1U_castellated,,1
~,SW5,PG1316S_1U_castellated,,1
D_45deg,D5,D_0805_2012Metric,,1
D_45deg,D4,D_0805_2012Metric,,1
~,SW4,PG1316S_1U_castellated,,1
D_45deg,D9,D_0805_2012Metric,,1
D_45deg,D1,D_0805_2012Metric,,1
D_45deg,D13,D_0805_2012Metric,,1
D_45deg,D2,D_0805_2012Metric,,1
0.1µF,C2,C_0603_1608Metric,,1
RESET,RST1,GT-TC024,,1
D_45deg,D3,D_0805_2012Metric,,1
5.1K,R2,C_0603_1608Metric,,1
~,SW10,PG1316M_0.7U_castellated,,1
D_45deg,D14,D_0805_2012Metric,,1
D_45deg,D8,D_0805_2012Metric,,1
5.1K,R1,C_0603_1608Metric,,1
~,SW1,PG1316S_1U_castellated,,1
D_45deg,D11,D_0805_2012Metric,,1
~,SW14,PG1316M_0.7U_castellated,,1
D_45deg,D12,D_0805_2012Metric,,1
~,SW6,PG1316S_1U_castellated,,1
~,SW9,PG1316S_1U_castellated,,1
~,SW7,PG1316S_1U_castellated,,1
~,SW3,PG1316S_1U_castellated,,1
0.1µF,C1,C_0603_1608Metric,,1
CH552T,U1,TSSOP-20_4.4x6.5mm_P0.65mm,,1
~,SW8,PG1316S_1U_castellated,,1
~,SW12,PG1316M_0.7U_castellated,,1
